작성일,종목명,종목코드,제목,적정가격,평가의견,작성자,작성기관,기업정보,첨부파일,현재가격
2025-11-20,케이아이엔엑스,093320, 3Q25 Review 3Q25 Review 3Q25 Review ,"114,000",Buy,정우성,LS증권,https://comp.kisline.com/hi/HI0100M010GE.nice?stockcd=093320&nav=1,https://consensus.hankyung.com/analysis/downpdf?report_idx=644850,85800
2025-11-20,솔브레인,357780, 3Q25 Review NAND 감산 기조 확대 3Q25 Review NAND 감산 기조 확대 3Q25 Review NAND 감산 기조 확대 ,"290,000",Buy,차용호,LS증권,https://comp.kisline.com/hi/HI0100M010GE.nice?stockcd=357780&nav=1,https://consensus.hankyung.com/analysis/downpdf?report_idx=644849,248500
2025-11-19,코리안리,003690, 배당수익률 5 내외의 기댓값은 적정 배당수익률 5 내외의 기댓값은 적정 3Q25 별도 순이익 742억원 11 YoY 배당수익률 5 내외의 기댓값은 적정 ,"12,500",Buy,김도하,한화투자증권,https://comp.kisline.com/hi/HI0100M010GE.nice?stockcd=003690&nav=1,https://consensus.hankyung.com/analysis/downpdf?report_idx=644846,11340
2025-11-19,세아제강,306200, 관세 영향 본격화에 따른 어닝 쇼크 기록 관세 영향 본격화에 따른 어닝 쇼크 기록 3분기 실적 어닝 쇼크 관세 영향 본격화 일회성 비용 발생 4분기 전망 해상풍력 LNG향 매출 발생으로 3분기 대비 개선 ,"146,000",Buy,권지우,한화투자증권,https://comp.kisline.com/hi/HI0100M010GE.nice?stockcd=306200&nav=1,https://consensus.hankyung.com/analysis/downpdf?report_idx=644843,119900
2025-11-19,태웅,044490, 탐방노트 SMR 소재 수주 시작 탐방노트 SMR 소재 수주 시작 주기기 제작에 들어가는 SMR 이제 소재 발주가 나온다 20년 만에 주단조 수퍼 사이클 돌아올까 ,0,N/A,문경원,메리츠증권,https://comp.kisline.com/hi/HI0100M010GE.nice?stockcd=044490&nav=1,https://consensus.hankyung.com/analysis/downpdf?report_idx=644840,24350
2025-11-19,오리온,271560, 국가별 10월 실적 Comment 국가별 10월 실적 Comment 국가별 10월 실적 Comment ,0,N/A,김정욱,메리츠증권,https://comp.kisline.com/hi/HI0100M010GE.nice?stockcd=271560&nav=1,https://consensus.hankyung.com/analysis/downpdf?report_idx=644839,105500
2025-11-19,쎄트렉아이,099320, 3Q25 Review 무난한 실적 추가 위성임대 계약을 기대 3Q25 Review 무난한 실적 추가 위성임대 계약을 기대 3Q25 Review 무난한 실적 추가 위성임대 계약을 기대 ,"67,000",Buy,최정환,LS증권,https://comp.kisline.com/hi/HI0100M010GE.nice?stockcd=099320&nav=1,https://consensus.hankyung.com/analysis/downpdf?report_idx=644833,57300
2025-11-19,SK가스,018670, LNG 밸류체인에서꾸준한확장기대 LNG 밸류체인에서꾸준한확장기대 LNG 밸류체인에서꾸준한확장기대 ,"340,000",Buy,전유진,iM증권,https://comp.kisline.com/hi/HI0100M010GE.nice?stockcd=018670&nav=1,https://consensus.hankyung.com/analysis/downpdf?report_idx=644832,268000
2025-11-19,LG화학,051910, 26년LGES 지분추가활용가능성이시사하는것들 26년LGES 지분추가활용가능성이시사하는것들 26년LGES 지분추가활용가능성이시사하는것들 ,"500,000",Buy,전유진,iM증권,https://comp.kisline.com/hi/HI0100M010GE.nice?stockcd=051910&nav=1,https://consensus.hankyung.com/analysis/downpdf?report_idx=644831,388500
2025-11-19,롯데케미칼,011170, 5년만에처음흑자전환을기대해보는26년 5년만에처음흑자전환을기대해보는26년 5년만에처음흑자전환을기대해보는26년 ,"110,000",Buy,전유진,iM증권,https://comp.kisline.com/hi/HI0100M010GE.nice?stockcd=011170&nav=1,https://consensus.hankyung.com/analysis/downpdf?report_idx=644830,80000
