작성일,종목명,종목코드,제목,적정가격,현재가격,기대수익률,평가의견,작성자,작성기관,기업정보,첨부파일
2025-11-20,삼양식품,003230, 두가지 공시의 함의 축복에 끝이 없네 두가지 공시의 함의 축복에 끝이 없네 중장기 실적 전망 상향의 근거가 될 중요한 공시 벌써 추가 라인 투입이 결정된 이유 ,"1,800,000",1380000,30.43,Buy,한유정,한화투자증권,https://comp.kisline.com/hi/HI0100M010GE.nice?stockcd=003230&nav=1,https://consensus.hankyung.com/analysis/downpdf?report_idx=644855
2025-11-20,이수페타시스,007660, NDR 후기 TPU 사이클의 유일한 선택지 NDR 후기 TPU 사이클의 유일한 선택지 NDR 후기 TPU 사이클의 유일한 선택지 ,0,122100,,N/A,-,메리츠증권,https://comp.kisline.com/hi/HI0100M010GE.nice?stockcd=007660&nav=1,https://consensus.hankyung.com/analysis/downpdf?report_idx=644852
2025-11-19,오리온,271560, 국가별 10월 실적 Comment 국가별 10월 실적 Comment 국가별 10월 실적 Comment ,0,104800,,N/A,김정욱,메리츠증권,https://comp.kisline.com/hi/HI0100M010GE.nice?stockcd=271560&nav=1,https://consensus.hankyung.com/analysis/downpdf?report_idx=644839
2025-11-19,쎄트렉아이,099320, 3Q25 Review 무난한 실적 추가 위성임대 계약을 기대 3Q25 Review 무난한 실적 추가 위성임대 계약을 기대 3Q25 Review 무난한 실적 추가 위성임대 계약을 기대 ,"67,000",55500,20.72,Buy,최정환,LS증권,https://comp.kisline.com/hi/HI0100M010GE.nice?stockcd=099320&nav=1,https://consensus.hankyung.com/analysis/downpdf?report_idx=644833
2025-11-19,SK가스,018670, LNG 밸류체인에서꾸준한확장기대 LNG 밸류체인에서꾸준한확장기대 LNG 밸류체인에서꾸준한확장기대 ,"340,000",258000,31.78,Buy,전유진,iM증권,https://comp.kisline.com/hi/HI0100M010GE.nice?stockcd=018670&nav=1,https://consensus.hankyung.com/analysis/downpdf?report_idx=644832
2025-11-19,LG화학,051910, 26년LGES 지분추가활용가능성이시사하는것들 26년LGES 지분추가활용가능성이시사하는것들 26년LGES 지분추가활용가능성이시사하는것들 ,"500,000",367000,36.24,Buy,전유진,iM증권,https://comp.kisline.com/hi/HI0100M010GE.nice?stockcd=051910&nav=1,https://consensus.hankyung.com/analysis/downpdf?report_idx=644831
2025-11-19,롯데케미칼,011170, 5년만에처음흑자전환을기대해보는26년 5년만에처음흑자전환을기대해보는26년 5년만에처음흑자전환을기대해보는26년 ,"110,000",78000,41.03,Buy,전유진,iM증권,https://comp.kisline.com/hi/HI0100M010GE.nice?stockcd=011170&nav=1,https://consensus.hankyung.com/analysis/downpdf?report_idx=644830
2025-11-19,S-Oil,010950, S Oil 26년1분기까지는편안할유가와정제마진 S Oil 26년1분기까지는편안할유가와정제마진 26년1분기까지는편안할유가와정제마진 ,"110,000",89700,22.63,Buy,전유진,iM증권,https://comp.kisline.com/hi/HI0100M010GE.nice?stockcd=010950&nav=1,https://consensus.hankyung.com/analysis/downpdf?report_idx=644828
2025-11-18,샘씨엔에스,252990, 비상을 앞두고 비상을 앞두고 비상을 앞두고 ,0,6290,,NotRated,"양승수,우서현",메리츠증권,https://comp.kisline.com/hi/HI0100M010GE.nice?stockcd=252990&nav=1,https://consensus.hankyung.com/analysis/downpdf?report_idx=644827
2025-11-18,한온시스템,018880, 순이자비용 완화 기대 고정비 부담은 아직 순이자비용 완화 기대 고정비 부담은 아직 순이자비용 완화 기대 고정비 부담은 아직 ,"4,200",3535,18.81,Hold,유민기,상상인증권,https://comp.kisline.com/hi/HI0100M010GE.nice?stockcd=018880&nav=1,https://consensus.hankyung.com/analysis/downpdf?report_idx=644820
2025-11-18,대한조선,439260, 3Q25 Re 한국 조선업 역사상 최고 수익성 달성 3Q25 Re 한국 조선업 역사상 최고 수익성 달성 3Q25 Re 한국 조선업 역사상 최고 수익성 달성 ,"100,000",65100,53.61,매수,오지훈,IBK투자증권,https://comp.kisline.com/hi/HI0100M010GE.nice?stockcd=439260&nav=1,https://consensus.hankyung.com/analysis/downpdf?report_idx=644801
2025-11-18,서진시스템,178320, 북미 AI 인프라 구축의 동반자 북미 AI 인프라 구축의 동반자 북미 AI 인프라 구축의 동반자 ,"33,000",21800,51.38,Buy,허준서,유진투자증권,https://comp.kisline.com/hi/HI0100M010GE.nice?stockcd=178320&nav=1,https://consensus.hankyung.com/analysis/downpdf?report_idx=644790
2025-11-17,삼양식품,003230, 불확실성 해소 불확실성 해소 기대치에 부합한 3분기 4분기에도 사상 최대 실적 경신 예상 ,"1,800,000",1380000,30.43,Buy,한유정,한화투자증권,https://comp.kisline.com/hi/HI0100M010GE.nice?stockcd=003230&nav=1,https://consensus.hankyung.com/analysis/downpdf?report_idx=644779
2025-11-17,이수페타시스,007660, 2026 모멘텀 적층기술 네트워크 단가인상 2026 모멘텀 적층기술 네트워크 단가인상 2026 모멘텀 적층기술 네트워크 단가인상 ,"144,000",122100,17.94,매수,박형우,SK증권,https://comp.kisline.com/hi/HI0100M010GE.nice?stockcd=007660&nav=1,https://consensus.hankyung.com/analysis/downpdf?report_idx=644766
2025-11-17,삼양식품,003230, 여기서 또 고성장 시현이 가능하다 여기서 또 고성장 시현이 가능하다 여기서 또 고성장 시현이 가능하다 ,"1,800,000",1380000,30.43,Buy,이경신,iM증권,https://comp.kisline.com/hi/HI0100M010GE.nice?stockcd=003230&nav=1,https://consensus.hankyung.com/analysis/downpdf?report_idx=644759
2025-11-13,한국가스공사,036460, 예상 수준의 실적 예상 수준의 실적 예상 수준의 실적 ,"59,000",40250,46.58,Buy,황성현,유진투자증권,https://comp.kisline.com/hi/HI0100M010GE.nice?stockcd=036460&nav=1,https://consensus.hankyung.com/analysis/downpdf?report_idx=644757
2025-11-13,롯데케미칼,011170, 턴어라운드 국면의 업사이드 리스크 턴어라운드 국면의 업사이드 리스크 턴어라운드 국면의 업사이드 리스크 ,"115,000",78000,47.44,Buy,황성현,유진투자증권,https://comp.kisline.com/hi/HI0100M010GE.nice?stockcd=011170&nav=1,https://consensus.hankyung.com/analysis/downpdf?report_idx=644755
2025-11-13,JYP Ent.,035900, JYP Ent 기선을 제압하는 고연차 성과 JYP Ent 기선을 제압하는 고연차 성과 기선을 제압하는 고연차 성과 ,"100,000",66300,50.83,Buy,이현지,유진투자증권,https://comp.kisline.com/hi/HI0100M010GE.nice?stockcd=035900&nav=1,https://consensus.hankyung.com/analysis/downpdf?report_idx=644753
2025-11-13,한국가스공사,036460, 배당은 이어지겠지만 배당은 이어지겠지만 3Q25 Review 영업이익 시장 기대치 20 상회 ,"57,000",40250,41.61,Buy,송유림,한화투자증권,https://comp.kisline.com/hi/HI0100M010GE.nice?stockcd=036460&nav=1,https://consensus.hankyung.com/analysis/downpdf?report_idx=644751
2025-11-13,롯데케미칼,011170, 여전히 부진하나 기대감은 높아지는 중 여전히 부진하나 기대감은 높아지는 중 3분기 정기보수 효과 제거되며 손익 개선 4분기 재차 적자 확대 전망 ,"100,000",78000,28.21,Buy,이용욱,한화투자증권,https://comp.kisline.com/hi/HI0100M010GE.nice?stockcd=011170&nav=1,https://consensus.hankyung.com/analysis/downpdf?report_idx=644749
2025-11-13,JYP Ent.,035900, JYP Ent 어쨌거나 효율화는 진행 중 JYP Ent 어쨌거나 효율화는 진행 중 3Q25 Review 영업이익 컨센서스 하회 스키즈 트와이스 엔믹스 그리고 블루개러지 ,"110,000",66300,65.91,Buy,박수영,한화투자증권,https://comp.kisline.com/hi/HI0100M010GE.nice?stockcd=035900&nav=1,https://consensus.hankyung.com/analysis/downpdf?report_idx=644747
2025-11-13,JYP Ent.,035900, JYP Ent 매니지먼트 비용 증가 JYP Ent 매니지먼트 비용 증가 매니지먼트 비용 증가 ,"93,000",66300,40.27,Buy,박성호,LS증권,https://comp.kisline.com/hi/HI0100M010GE.nice?stockcd=035900&nav=1,https://consensus.hankyung.com/analysis/downpdf?report_idx=644742
2025-11-13,한국가스공사,036460, 미수금 회수 부진으로 통상적 배당성향 복원 지연 미수금 회수 부진으로 통상적 배당성향 복원 지연 미수금 회수 부진으로 통상적 배당성향 복원 지연 ,"50,000",40250,24.22,Buy,성종화,LS증권,https://comp.kisline.com/hi/HI0100M010GE.nice?stockcd=036460&nav=1,https://consensus.hankyung.com/analysis/downpdf?report_idx=644740
2025-11-13,더존비즈온,012510, 분기 실적보다는 중장기 방향성 변화에 집중 분기 실적보다는 중장기 방향성 변화에 집중 분기 실적보다는 중장기 방향성 변화에 집중 ,"116,500",93800,24.2,Buy,정우성,LS증권,https://comp.kisline.com/hi/HI0100M010GE.nice?stockcd=012510&nav=1,https://consensus.hankyung.com/analysis/downpdf?report_idx=644739
2025-11-13,JYP Ent.,035900, JYP Ent 원가 부담 확대에 따른 수익성 저하 JYP Ent 원가 부담 확대에 따른 수익성 저하 원가 부담 확대에 따른 수익성 저하 ,"100,000",66300,50.83,Buy,황지원,iM증권,https://comp.kisline.com/hi/HI0100M010GE.nice?stockcd=035900&nav=1,https://consensus.hankyung.com/analysis/downpdf?report_idx=644738
2025-11-13,롯데케미칼,011170, 이번에는 진짜로 4년 만의 바닥 탈출 기대 이번에는 진짜로 4년 만의 바닥 탈출 기대 이번에는 진짜로 4년 만의 바닥 탈출 기대 ,"110,000",78000,41.03,Buy,"전유진,장호",iM증권,https://comp.kisline.com/hi/HI0100M010GE.nice?stockcd=011170&nav=1,https://consensus.hankyung.com/analysis/downpdf?report_idx=644737
2025-11-12,이마트,139480, 계획대로 진행 중 계획대로 진행 중 영업환경 감안하면 3분기 실적은 서프라이즈 4분기 영업이익 흑자 기대 ,"104,000",80000,30.0,Buy,남성현,IBK투자증권,https://comp.kisline.com/hi/HI0100M010GE.nice?stockcd=139480&nav=1,https://consensus.hankyung.com/analysis/downpdf?report_idx=644735
2025-11-12,대한조선,439260, 수에즈막스 탱커 2척 추가 수주 28년 슬롯도 완판에 가까워짐 수에즈막스 탱커 2척 추가 수주 28년 슬롯도 완판에 가까워짐 노르딕 아메리칸 탱커스 NAT 로부터 수에즈막스 탱커 2척 수주 보도 ,0,65100,,N/A,오지훈,IBK투자증권,https://comp.kisline.com/hi/HI0100M010GE.nice?stockcd=439260&nav=1,https://consensus.hankyung.com/analysis/downpdf?report_idx=644733
2025-11-12,대한조선,439260, 공포를 사야 할 때 공포를 사야 할 때 3개월 뒤의 보호예수 해제 물량 정말로 우려할 수준인가에 대해 ,"100,000",65100,53.61,Buy,오지훈,IBK투자증권,https://comp.kisline.com/hi/HI0100M010GE.nice?stockcd=439260&nav=1,https://consensus.hankyung.com/analysis/downpdf?report_idx=644732
2025-11-12,이마트,139480, 3Q25 Review 다가온 반격의 시간 3Q25 Review 다가온 반격의 시간 3Q25 Review ,"120,000",80000,50.0,Buy,이진협,한화투자증권,https://comp.kisline.com/hi/HI0100M010GE.nice?stockcd=139480&nav=1,https://consensus.hankyung.com/analysis/downpdf?report_idx=644728
2025-11-12,이마트,139480, 3Q25 Review 경쟁 완화 국면 주목 3Q25 Review 경쟁 완화 국면 주목 3Q25 Review 경쟁 완화 국면 주목 ,"105,000",80000,31.25,Buy,오린아,LS증권,https://comp.kisline.com/hi/HI0100M010GE.nice?stockcd=139480&nav=1,https://consensus.hankyung.com/analysis/downpdf?report_idx=644720
2025-11-12,CJ제일제당,097950, 업황 부진의 늪 업황 부진의 늪 업황 부진의 늪 ,"290,000",218000,33.03,Buy,박성호,LS증권,https://comp.kisline.com/hi/HI0100M010GE.nice?stockcd=097950&nav=1,https://consensus.hankyung.com/analysis/downpdf?report_idx=644712
2025-11-12,CJ제일제당,097950, 잘됐으면 좋겠다 잘됐으면 좋겠다 잘됐으면 좋겠다 ,"320,000",218000,46.79,Buy,이경신,iM증권,https://comp.kisline.com/hi/HI0100M010GE.nice?stockcd=097950&nav=1,https://consensus.hankyung.com/analysis/downpdf?report_idx=644710
2025-11-11,하이브,352820, 불편한 희극 불편한 희극 불편한 희극 ,"400,000",292000,36.99,Buy,이현지,유진투자증권,https://comp.kisline.com/hi/HI0100M010GE.nice?stockcd=352820&nav=1,https://consensus.hankyung.com/analysis/downpdf?report_idx=644701
2025-11-11,파라다이스,034230, 자주 와서 경험해보면 재밌을텐데 자주 와서 경험해보면 재밌을텐데 자주 와서 경험해보면 재밌을텐데 ,"26,000",18090,43.73,Buy,이현지,유진투자증권,https://comp.kisline.com/hi/HI0100M010GE.nice?stockcd=034230&nav=1,https://consensus.hankyung.com/analysis/downpdf?report_idx=644700
2025-11-11,클래시스,214150, 3Q25P Review 18개 분기 연속 성장세 3Q25P Review 18개 분기 연속 성장세 3Q25P Review 18개 분기 연속 성장세 ,"75,000",55300,35.62,Buy,박종선,유진투자증권,https://comp.kisline.com/hi/HI0100M010GE.nice?stockcd=214150&nav=1,https://consensus.hankyung.com/analysis/downpdf?report_idx=644699
2025-11-11,롯데에너지머티리얼즈,020150, 국내 캐파를 AI 회로박으로 전환 국내 캐파를 AI 회로박으로 전환 국내 캐파를 AI 회로박으로 전환 ,"40,000",41200,-2.91,Buy,한병화,유진투자증권,https://comp.kisline.com/hi/HI0100M010GE.nice?stockcd=020150&nav=1,https://consensus.hankyung.com/analysis/downpdf?report_idx=644695
2025-11-11,두산,000150, 3Q25 Review 신뢰의 도약 3Q25 Review 신뢰의 도약 3Q25 Review 신뢰의 도약 ,"1,370,000",855000,60.23,Buy,이주형,유진투자증권,https://comp.kisline.com/hi/HI0100M010GE.nice?stockcd=000150&nav=1,https://consensus.hankyung.com/analysis/downpdf?report_idx=644693
2025-11-11,더존비즈온,012510, 3Q25P Review 23분기 만에 분기 최고 OPM 달성 3Q25P Review 23분기 만에 분기 최고 OPM 달성 3Q25P Review 23분기 만에 분기 최고 OPM 달성 ,"117,000",93800,24.73,Buy,박종선,유진투자증권,https://comp.kisline.com/hi/HI0100M010GE.nice?stockcd=012510&nav=1,https://consensus.hankyung.com/analysis/downpdf?report_idx=644692
2025-11-11,하이브,352820, 예상보다 큰 초기 투자 비용 예상보다 큰 초기 투자 비용 3Q25 Review 어닝 쇼크 여전히 2026년 실적 기대감 유효 ,"370,000",292000,26.71,Buy,김민영,메리츠증권,https://comp.kisline.com/hi/HI0100M010GE.nice?stockcd=352820&nav=1,https://consensus.hankyung.com/analysis/downpdf?report_idx=644686
2025-11-11,두산,000150, CCL 슈퍼사이클의 중심 CCL 슈퍼사이클의 중심 3분기 예고된 부진 그러나 변함없는 업황 흐름 CCL 수요 논의 종료 슈퍼사이클 시작 ,"1,350,000",855000,57.89,Buy,양승수,메리츠증권,https://comp.kisline.com/hi/HI0100M010GE.nice?stockcd=000150&nav=1,https://consensus.hankyung.com/analysis/downpdf?report_idx=644677
2025-11-11,SK하이닉스,000660, 재평가 여정 Good to Great 1 2 재평가 여정 Good to Great 1 2 Summary 저평가의 딜레마 해소 최적의 환경 조성 ,"910,000",521000,74.66,Buy,김선우,메리츠증권,https://comp.kisline.com/hi/HI0100M010GE.nice?stockcd=000660&nav=1,https://consensus.hankyung.com/analysis/downpdf?report_idx=644675
2025-11-11,하이브,352820, 물 들어올 때 노 젓기 위한 873억원 물 들어올 때 노 젓기 위한 873억원 물 들어올 때 노 젓기 위한 873억원 ,"410,000",292000,40.41,Buy,박수영,한화투자증권,https://comp.kisline.com/hi/HI0100M010GE.nice?stockcd=352820&nav=1,https://consensus.hankyung.com/analysis/downpdf?report_idx=644673
2025-11-11,파라다이스,034230, 3Q 비용이 비용의 CAP이라면 3Q 비용이 비용의 CAP이라면 3Q25 Review 영업이익 395억원 기대치 하회 3Q 비용이 비용의 CAP이라면 ,"28,000",18090,54.78,Buy,박수영,한화투자증권,https://comp.kisline.com/hi/HI0100M010GE.nice?stockcd=034230&nav=1,https://consensus.hankyung.com/analysis/downpdf?report_idx=644672
2025-11-11,코스맥스,192820, 우려스러운 마진 하락 우려스러운 마진 하락 기대치를 하회한 3분기 우려스러운 마진 하락 ,"220,000",174100,26.36,Buy,한유정,한화투자증권,https://comp.kisline.com/hi/HI0100M010GE.nice?stockcd=192820&nav=1,https://consensus.hankyung.com/analysis/downpdf?report_idx=644671
2025-11-11,F&F,383220, F F 3Q25 Review 실적 전망치 상향 기대감은 하향 F F 3Q25 Review 실적 전망치 상향 기대감은 하향 3Q25 Review 실적 전망치 상향 다만 디스커버리 중국 기대감은 하향 ,"94,000",76200,23.36,Buy,이진협,한화투자증권,https://comp.kisline.com/hi/HI0100M010GE.nice?stockcd=383220&nav=1,https://consensus.hankyung.com/analysis/downpdf?report_idx=644669
2025-11-11,삼성SDI,006400, EV 실적부진을상쇄시켜줄ESS의높은성장가능성에주목 EV 실적부진을상쇄시켜줄ESS의높은성장가능성에주목 EV 실적부진을상쇄시켜줄ESS의높은성장가능성에주목 ,"400,000",288500,38.65,Buy,정원석,iM증권,https://comp.kisline.com/hi/HI0100M010GE.nice?stockcd=006400&nav=1,https://consensus.hankyung.com/analysis/downpdf?report_idx=644668
2025-11-11,GS건설,006360, 긴호흡으로정상화구간진입중 긴호흡으로정상화구간진입중 긴호흡으로정상화구간진입중 ,"24,000",18800,27.66,Buy,배세호,iM증권,https://comp.kisline.com/hi/HI0100M010GE.nice?stockcd=006360&nav=1,https://consensus.hankyung.com/analysis/downpdf?report_idx=644667
2025-11-11,현대건설,000720, 2026년뚜렷해질원전성과 여전히매력적인주가 2026년뚜렷해질원전성과 여전히매력적인주가 2026년뚜렷해질원전성과 여전히매력적인주가 ,"90,000",59300,51.77,Buy,배세호,iM증권,https://comp.kisline.com/hi/HI0100M010GE.nice?stockcd=000720&nav=1,https://consensus.hankyung.com/analysis/downpdf?report_idx=644665
2025-11-11,HDC현대산업개발,294870, 본격화되는이익증가사이클 본격화되는이익증가사이클 본격화되는이익증가사이클 ,"28,000",20300,37.93,Buy,배세호,iM증권,https://comp.kisline.com/hi/HI0100M010GE.nice?stockcd=294870&nav=1,https://consensus.hankyung.com/analysis/downpdf?report_idx=644664
2025-11-11,DL이앤씨,375500, 주택수익성개선세는긍정적이나 플랜트수주필요 주택수익성개선세는긍정적이나 플랜트수주필요 주택수익성개선세는긍정적이나 플랜트수주필요 ,"52,000",39200,32.65,Buy,정원석,iM증권,https://comp.kisline.com/hi/HI0100M010GE.nice?stockcd=375500&nav=1,https://consensus.hankyung.com/analysis/downpdf?report_idx=644663
2025-11-11,하이브,352820, 예상보다 더 부진한 실적 그럼에도 불구하고 예상보다 더 부진한 실적 그럼에도 불구하고 예상보다 더 부진한 실적 그럼에도 불구하고 ,"400,000",292000,36.99,Buy,황지원,iM증권,https://comp.kisline.com/hi/HI0100M010GE.nice?stockcd=352820&nav=1,https://consensus.hankyung.com/analysis/downpdf?report_idx=644658
2025-11-11,롯데에너지머티리얼즈,020150, AI 밸류체인 진입 기판 소재 탈중국 반사수혜 AI 밸류체인 진입 기판 소재 탈중국 반사수혜 AI 밸류체인 진입 기판 소재 탈중국 반사수혜 ,"44,500",41200,8.01,매수,박형우,SK증권,https://comp.kisline.com/hi/HI0100M010GE.nice?stockcd=020150&nav=1,https://consensus.hankyung.com/analysis/downpdf?report_idx=644656
2025-11-11,F&F,383220, F F 중국 성장 견조 F F 중국 성장 견조 중국 성장 견조 ,"90,000",76200,18.11,매수,형권훈,SK증권,https://comp.kisline.com/hi/HI0100M010GE.nice?stockcd=383220&nav=1,https://consensus.hankyung.com/analysis/downpdf?report_idx=644655
2025-11-11,코스맥스,192820, 흔들린 수익성 흔들린 수익성 흔들린 수익성 ,"240,000",174100,37.85,매수,형권훈,SK증권,https://comp.kisline.com/hi/HI0100M010GE.nice?stockcd=192820&nav=1,https://consensus.hankyung.com/analysis/downpdf?report_idx=644654
2025-11-11,클래시스,214150, 이제는 정상화의 시간 feat 브라질 실적 밸류에이션 이제는 정상화의 시간 feat 브라질 실적 밸류에이션 이제는 정상화의 시간 feat 브라질 실적 밸류에이션 ,"65,000",55300,17.54,Buy,조은애,LS증권,https://comp.kisline.com/hi/HI0100M010GE.nice?stockcd=214150&nav=1,https://consensus.hankyung.com/analysis/downpdf?report_idx=644652
2025-11-11,코스맥스,192820, 3Q25 Review 마진 가시성 하락 3Q25 Review 마진 가시성 하락 3Q25 Review 마진 가시성 하락 ,"250,000",174100,43.6,Buy,오린아,LS증권,https://comp.kisline.com/hi/HI0100M010GE.nice?stockcd=192820&nav=1,https://consensus.hankyung.com/analysis/downpdf?report_idx=644650
2025-11-11,KCC,002380, OPM 8 견조한 실적 영업외손익에서 기대 OPM 8 견조한 실적 영업외손익에서 기대 OPM 8 견조한 실적 영업외손익에서 기대 ,"516,000",400500,28.84,Buy,정경희,LS증권,https://comp.kisline.com/hi/HI0100M010GE.nice?stockcd=002380&nav=1,https://consensus.hankyung.com/analysis/downpdf?report_idx=644649
2025-11-10,신세계,004170, 2026년을 보고 베팅할 시점 2026년을 보고 베팅할 시점 3분기 실적 Review 2026년부터 펀더멘탈 개선은 확실 ,"250,000",228000,9.65,Buy,남성현,IBK투자증권,https://comp.kisline.com/hi/HI0100M010GE.nice?stockcd=004170&nav=1,https://consensus.hankyung.com/analysis/downpdf?report_idx=644646
2025-11-10,롯데에너지머티리얼즈,020150, AI와 ESS로 어플리케이션 다변화 AI와 ESS로 어플리케이션 다변화 25년 3분기 EV는 하락세 25년 4분기 어플리케이션 다변화 ,"32,000",41200,-22.33,TradingBuy,이현욱,IBK투자증권,https://comp.kisline.com/hi/HI0100M010GE.nice?stockcd=020150&nav=1,https://consensus.hankyung.com/analysis/downpdf?report_idx=644644
2025-11-10,한국타이어앤테크놀로지,161390, 3Q25 Review 마진 확대 구간 진입 3Q25 Review 마진 확대 구간 진입 3Q25 매출액 영업이익 기대치 상회 믹스 개선 효과 긍정적 인플레이션 우려 해소 입증 ,"63,000",57900,8.81,Buy,김성래,한화투자증권,https://comp.kisline.com/hi/HI0100M010GE.nice?stockcd=161390&nav=1,https://consensus.hankyung.com/analysis/downpdf?report_idx=644636
2025-11-10,신세계,004170, 3Q25 Review Godfather of Luxury Retailer 3Q25 Review Godfather of Luxury Retailer 3Q25 Review 백화점 호조에 더해 리뉴얼 효과 가미될 전망 ,"250,000",228000,9.65,Buy,이진협,한화투자증권,https://comp.kisline.com/hi/HI0100M010GE.nice?stockcd=004170&nav=1,https://consensus.hankyung.com/analysis/downpdf?report_idx=644631
2025-11-10,와이지엔터테인먼트,122870, 높아진 기대치 대비 다소 아쉬운 실적 높아진 기대치 대비 다소 아쉬운 실적 높아진 기대치 대비 다소 아쉬운 실적 ,"120,000",60700,97.69,Buy,황지원,iM증권,https://comp.kisline.com/hi/HI0100M010GE.nice?stockcd=122870&nav=1,https://consensus.hankyung.com/analysis/downpdf?report_idx=644628
2025-11-10,지역난방공사,071320, 열과 전력 모두 서프라이즈 열과 전력 모두 서프라이즈 열과 전력 모두 서프라이즈 ,"156,000",104000,50.0,Buy,"전유진,장호",iM증권,https://comp.kisline.com/hi/HI0100M010GE.nice?stockcd=071320&nav=1,https://consensus.hankyung.com/analysis/downpdf?report_idx=644627
2025-11-10,두산에너빌리티,034020, 매년 신규수주 14조원 이상 시대를 열다 밸류 UP 매년 신규수주 14조원 이상 시대를 열다 밸류 UP 매년 신규수주 14조원 이상 시대를 열다 밸류 UP ,0,73100,,nr,"이상헌,장호",iM증권,https://comp.kisline.com/hi/HI0100M010GE.nice?stockcd=034020&nav=1,https://consensus.hankyung.com/analysis/downpdf?report_idx=644625
2025-11-10,LG이노텍,011070, NDR 후기 패키지기판 추가 업사이드 NDR 후기 패키지기판 추가 업사이드 NDR 후기 패키지기판 추가 업사이드 ,"320,000",231000,38.53,Buy,고의영,iM증권,https://comp.kisline.com/hi/HI0100M010GE.nice?stockcd=011070&nav=1,https://consensus.hankyung.com/analysis/downpdf?report_idx=644621
2025-11-10,유니셈,036200, 부대 장비지만 필수야 부대 장비지만 필수야 부대 장비지만 필수야 ,"15,000",9270,61.81,매수,이동주,SK증권,https://comp.kisline.com/hi/HI0100M010GE.nice?stockcd=036200&nav=1,https://consensus.hankyung.com/analysis/downpdf?report_idx=644618
2025-11-10,이오테크닉스,039030, 캐시카우는 상단을 열고 신규 장비는 새로 붙고 캐시카우는 상단을 열고 신규 장비는 새로 붙고 캐시카우는 상단을 열고 신규 장비는 새로 붙고 ,"330,000",248000,33.06,매수,이동주,SK증권,https://comp.kisline.com/hi/HI0100M010GE.nice?stockcd=039030&nav=1,https://consensus.hankyung.com/analysis/downpdf?report_idx=644617
2025-11-10,원익IPS,240810, Keep Going Keep Going Keep Going ,"90,000",56700,58.73,매수,이동주,SK증권,https://comp.kisline.com/hi/HI0100M010GE.nice?stockcd=240810&nav=1,https://consensus.hankyung.com/analysis/downpdf?report_idx=644616
